speaker_id,utterance,start,end
," Hi Sam, how are you doing today?",0.0,0.602
," I'm good, how are you?",7.0,7.403
SPEAKER_00," I'm doing well, thanks for asking.",14.909,16.772
SPEAKER_00, So you're here at the agency today to seek counseling services?,21.201,25.0
SPEAKER_01," Yeah, my boss sent me over, so I figured I'd come.",25.965,28.477
SPEAKER_01, Your boss sent you over?,29.0,30.0
SPEAKER_00, Mm-hmm.,30.102,30.592
SPEAKER_00, What reason do you think your boss had for doing that?,32.027,34.0
SPEAKER_01, There was this issue with a couple of the people I wanted to team with.,35.148,36.98
SPEAKER_01," They couldn't relate to my ideas, and my boss saw it as being kind of, you know, not working super well,  so she wanted me to come over and talk about it.",37.16,46.0
SPEAKER_00, She wanted you to come over and talk about your relationship with your coworkers?,48.027,52.0
SPEAKER_01," I think more just so that, you know, my ideas were just kind of higher than what they could really understand,  so maybe learn how to talk to other people so that they can understand me.",52.0,61.975
SPEAKER_01," Okay, and what do you mean by higher?",63.1,64.466
SPEAKER_00,"Like, your ideas were higher?",65.691,66.855
SPEAKER_00," You know, just a little bit more intelligent.",68.323,69.576
SPEAKER_01," You know, I'm just at a level that other people can't always reach to.",70.362,73.095
SPEAKER_01," You know, just a little bit higher, sometimes a lot higher, but just on this team,  they just couldn't understand, you know, my language or what I was saying, and I couldn't see the vision that I had.",74.0,82.675
SPEAKER_00," Okay, so they were unable to reach your level of expression for this, it was like a project you were working on?",84.02,91.176
SPEAKER_00," Yeah, yeah.",93.592,93.898
SPEAKER_00, Was it?,94.102,94.306
SPEAKER_00,Okay.,94.327,94.429
SPEAKER_00, And your boss recognized this difference and thought that the counseling may be helpful?,95.02,98.91
SPEAKER_00, Yeah.,103.878,103.98
SPEAKER_01," Do you think, you know, counseling will be helpful?",105.0,106.859
SPEAKER_01," I think it's good, you know, so that my boss is happy that I went, but I think it could also be useful in the sense of, you know,  other people are just jealous of me a lot and they just can't really relate to me, so it might be, you know,  great to learn how to really, you know, like, kind of understand what they're going through at their level.",108.042,125.659
SPEAKER_01," Again, you say at their level, so are you meaning, again, that they're kind of below you with your skills and-",126.02,130.571
SPEAKER_00," Yeah, they're just, they haven't accomplished as much, you know, they don't know as many people,",134.0,138.859
